2023-06-16; 18:26:38.395426; 0 PING; 18:26:38.996117; [0/0] PONG 2
2023-06-16; 18:26:38.395426; 0 PING; 18:26:39.139117; [1/0] PONG 1
2023-06-16; 18:26:40.448638; 1 PING; 18:26:40.949744; [2/1] PONG 2
2023-06-16; 18:26:41.091161; 1 PING; 18:26:42.036129; [3/1] PONG 1
2023-06-16; 18:26:42.683372; 2 PING; 18:26:42.808229; [4/2] PONG 2
2023-06-16; ; ; 18:26:42.870236; 5 keepalive
2023-06-16; ; ; 18:26:42.870236; 6 keepalive
2023-06-16; 18:26:42.398738; 2 PING; 18:26:43.120228; [7/2] PONG 1
2023-06-16; 18:26:43.891612; 3 PING; 18:26:44.243747; [8/3] PONG 2
2023-06-16; 18:26:44.715263; 3 PING; 18:26:45.492652; [9/3] PONG 1
2023-06-16; 18:26:46.267697; 4 PING; (проигнорировано)
2023-06-16; ; ; 18:26:47.879959; 10 keepalive
2023-06-16; ; ; 18:26:47.879959; 11 keepalive
2023-06-16; 18:26:47.628413; 4 PING; 18:26:48.068130; [12/4] PONG 1
2023-06-16; 18:26:49.116365; 5 PING; (проигнорировано)
2023-06-16; 18:26:49.068388; 5 PING; 18:26:49.796757; [13/5] PONG 1
2023-06-16; 18:26:49.796757; 6 PING; 18:26:50.416149; [14/6] PONG 1
2023-06-16; 18:26:50.416149; 7 PING; 18:26:50.745445; [15/7] PONG 1
2023-06-16; 18:26:51.328177; 6 PING; 18:26:51.485929; [16/6] PONG 2
2023-06-16; 18:26:51.485929; 8 PING; 18:26:52.484426; [17/8] PONG 1
2023-06-16; ; ; 18:26:52.880649; 18 keepalive
2023-06-16; ; ; 18:26:52.880649; 19 keepalive
2023-06-16; 18:26:54.114218; 7 PING; (проигнорировано)
2023-06-16; 18:26:54.433213; 9 PING; 18:26:55.081212; [20/9] PONG 1
2023-06-16; 18:26:55.337213; 8 PING; 18:26:55.574467; [21/8] PONG 2
2023-06-16; 18:26:56.970729; 10 PING; 18:26:57.634761; [22/10] PONG 1
2023-06-16; ; ; 18:26:57.871754; 23 keepalive
2023-06-16; ; ; 18:26:57.871754; 24 keepalive
2023-06-16; 18:26:58.076755; 9 PING; 18:26:58.647169; [25/9] PONG 2
2023-06-16; 18:26:58.647169; 10 PING; 18:26:58.838158; [26/10] PONG 2
2023-06-16; 18:26:59.328964; 11 PING; (проигнорировано)
2023-06-16; 18:27:01.241902; 11 PING; 18:27:01.462923; [27/11] PONG 2
2023-06-16; 18:27:01.857866; 12 PING; 18:27:02.741899; [28/12] PONG 1
2023-06-16; ; ; 18:27:02.883475; 29 keepalive
2023-06-16; ; ; 18:27:02.883475; 30 keepalive
2023-06-16; 18:27:02.396335; 12 PING; 18:27:03.057565; [31/12] PONG 2
2023-06-16; 18:27:04.181770; 13 PING; 18:27:04.500774; [32/13] PONG 1
2023-06-16; 18:27:04.421803; 13 PING; 18:27:04.611163; [33/13] PONG 2
2023-06-16; 18:27:04.500774; 14 PING; 18:27:04.848126; [34/14] PONG 1
2023-06-16; 18:27:06.195809; 14 PING; (проигнорировано)
2023-06-16; 18:27:06.611812; 15 PING; 18:27:06.915825; [35/15] PONG 1
2023-06-16; ; ; 18:27:07.889918; 36 keepalive
2023-06-16; ; ; 18:27:07.889918; 37 keepalive
2023-06-16; 18:27:07.649918; 16 PING; 18:27:08.432145; [38/16] PONG 1
2023-06-16; 18:27:08.556810; 15 PING; 18:27:09.160936; [39/15] PONG 2
2023-06-16; 18:27:08.969129; 17 PING; 18:27:09.528943; [40/17] PONG 1
2023-06-16; 18:27:09.972912; 18 PING; 18:27:10.724933; [41/18] PONG 1
2023-06-16; 18:27:11.280200; 16 PING; (проигнорировано)
2023-06-16; 18:27:12.427470; 19 PING; (проигнорировано)
2023-06-16; ; ; 18:27:12.903930; 42 keepalive
2023-06-16; ; ; 18:27:12.903930; 43 keepalive
2023-06-16; 18:27:12.076902; 17 PING; 18:27:12.935980; [44/17] PONG 2
2023-06-16; 18:27:14.024542; 18 PING; 18:27:14.689156; [45/18] PONG 2
2023-06-16; 18:27:14.984160; 20 PING; 18:27:15.880762; [46/20] PONG 1
2023-06-16; 18:27:16.132128; 19 PING; 18:27:16.829760; [47/19] PONG 2
2023-06-16; 18:27:16.893260; 21 PING; 18:27:17.366657; [48/21] PONG 1
2023-06-16; ; ; 18:27:17.904777; 49 keepalive
2023-06-16; ; ; 18:27:17.904777; 50 keepalive
2023-06-16; 18:27:17.856759; 20 PING; 18:27:18.509154; [51/20] PONG 2
2023-06-16; 18:27:18.885837; 21 PING; 18:27:19.189913; [52/21] PONG 2
2023-06-16; 18:27:19.507908; 22 PING; 18:27:20.286907; [53/22] PONG 1
2023-06-16; 18:27:20.836755; 22 PING; 18:27:21.707724; [54/22] PONG 2
2023-06-16; 18:27:21.707724; 23 PING; (проигнорировано)
2023-06-16; 18:27:22.184804; 23 PING; 18:27:22.327808; [55/23] PONG 1
2023-06-16; ; ; 18:27:22.917903; 56 keepalive
2023-06-16; ; ; 18:27:22.917903; 57 keepalive
2023-06-16; 18:27:24.248918; 24 PING; 18:27:24.674772; [58/24] PONG 2
2023-06-16; 18:27:24.770547; 24 PING; 18:27:25.134150; [59/24] PONG 1
2023-06-16; 18:27:25.623823; 25 PING; 18:27:25.781887; [60/25] PONG 1
